,Protein,Subgraph,Degree,Information,Betweenness,Network,isoelectric point,negatively charged particle,positively charged particle,absorbance,Pred_Cluster
153,YOL062C,753000000000000.0,28,3.7088745000000003,17526.975,1.4555556,8.39703,54,57,1.0561200000000002,-1
154,YNL071W,751000000000000.0,41,3.8617712999999996,45085.4,1.4811885,7.5965,56,57,0.47831,-1
155,YOL126C,747000000000000.0,28,3.7088745000000003,17630.12,1.1354921999999998,6.4092400000000005,34,31,0.38117,-1
156,YMR108W,740000000000000.0,31,3.7539133999999996,9659.504,0.9310867,8.591000000000001,71,75,0.79715,-1
157,YBL075C,736000000000000.0,33,3.7799404,20314.252,1.1221591,5.05243,100,80,0.35608,-1
158,YBL007C,733000000000000.0,139,4.127139,569650.2,32.627871999999996,5.65753,140,126,0.70223,-1
159,YGR282C,732000000000000.0,27,3.6919663000000003,13682.008,1.1688962999999999,4.32465,39,20,1.98955,-1
160,YBL030C,731000000000000.0,31,3.7539133999999996,57903.723,1.1345239,9.79913,22,42,1.0564799999999999,-1
161,YHR027C,726000000000000.0,42,3.8698623,37630.094,13.472114999999999,4.52203,174,88,0.73239,-1
162,YJR091C,721000000000000.0,280,4.1892104,2074496.4,7.292613,6.4798,89,81,0.62522,-1
163,YNR001C,715000000000000.0,30,3.7397115,41113.387,1.2157848999999998,8.23077,58,60,1.17927,-1
164,YMR117C,704000000000000.0,36,3.8142917,42788.566,2.9969492,4.860530000000001,46,34,0.52635,-1
165,YDL188C,701000000000000.0,47,3.9065285000000003,46735.926,9.098276,4.62921,62,32,1.18418,-1
166,YKL035W,699000000000000.0,30,3.7397115,12711.813999999998,0.8022779000000001,6.98297,62,61,0.59639,-1
167,YBR198C,671000000000000.0,49,3.9192991000000004,98602.586,9.23855,7.01483,97,96,1.0044799999999998,-1
168,YJR009C,667000000000000.0,31,3.7539133999999996,38231.855,0.93939394,6.45758,39,37,0.8829299999999999,-1
169,YHR169W,666000000000000.0,30,3.7397115,27363.55,1.2173803,9.628969999999999,45,61,0.45803999999999995,-1
170,YIL075C,648000000000000.0,32,3.7673379999999996,21946.426,4.680599,5.851380000000001,118,108,0.75947,-1
