@relation All_Centrality

@attribute Subgraph numeric
@attribute Degree numeric
@attribute Eigenvector numeric
@attribute Information numeric
@attribute LAC numeric
@attribute Betweenness numeric
@attribute Closeness numeric
@attribute Network numeric

@data
1480000000000000,51,0.052455,3.931093,4.078432,68011.15,0.022726,9.23121
1470000000000000,57,0.052403,3.962234,1.263158,77812.82,0.022683,2.557389
1460000000000000,48,0.05221,3.913122,1.875,38685.176,0.022709,2.815373
1450000000000000,55,0.052015,3.95249,1.127273,84811.69,0.022767,1.936318
1400000000000000,34,0.051141,3.792073,2.352941,34482.035,0.022699,2.732042
1400000000000000,59,0.05105,3.971098,2.813559,96077.96,0.022728,6.174324
1390000000000000,56,0.050948,3.957417,3.035714,107386.3,0.022766,7.119703
1380000000000000,37,0.05073,3.824644,0.864865,18432.852,0.022677,0.965038
1350000000000000,39,0.050245,3.844012,0.564103,43303.367,0.022714,0.671747
1350000000000000,44,0.050155,3.885575,4.090909,67642.28,0.022752,4.859096
1350000000000000,71,0.050136,4.015415,1.859155,165277.8,0.022757,6.775835
1330000000000000,57,0.049795,3.962234,1.403509,119694.805,0.022757,3.846167
1330000000000000,36,0.049733,3.814292,1.666667,53817.89,0.022727,2.008759
1320000000000000,45,0.049701,3.892867,0.622222,50582.676,0.022709,0.770395
1320000000000000,41,0.049656,3.861771,2.487805,21008.63,0.0227,3.571577
1310000000000000,55,0.04951,3.95249,2.218182,86809.664,0.022701,3.766461
1310000000000000,54,0.049395,3.947442,4.222222,64477.207,0.022745,6.857254
1300000000000000,40,0.049158,3.853046,2.95,31287.172,0.022657,7.110362
1280000000000000,31,0.048854,3.753913,0.258064,15653.022,0.022644,0.266667
1280000000000000,39,0.04881,3.844012,0.717949,67271.41,0.022675,1.575035
1270000000000000,42,0.048672,3.869862,7.952381,9162.269,0.022635,12.416358
1260000000000000,28,0.048465,3.708874,1,27114.28,0.022643,2.538889
1250000000000000,35,0.048355,3.80336,2.628572,21000.66,0.022675,3.565858
1230000000000000,25,0.047959,3.655076,2.88,8523.976,0.022635,3.196429
1230000000000000,46,0.047931,3.899822,1.217391,59299.36,0.02269,1.554853
1210000000000000,34,0.0476,3.792073,2.117647,38920.31,0.022717,2.94172
1160000000000000,49,0.046599,3.919299,0.897959,71076.38,0.022724,1.614038
1160000000000000,32,0.046541,3.767338,2.625,22164.223,0.022683,2.753124
1140000000000000,44,0.046123,3.885575,0.909091,27136.812,0.02272,1.239365
1130000000000000,57,0.045975,3.962234,1.719298,88605.33,0.022742,2.818882
1120000000000000,97,0.045803,4.07566,5.051547,217585.69,0.02277,19.193378
1100000000000000,84,0.045277,4.049944,0.952381,285907.28,0.022731,4.376715
1080000000000000,61,0.04493,3.979708,7.377049,75032.07,0.022719,18.6011
1060000000000000,37,0.044365,3.824644,1.027027,19961.715,0.022727,1.24032
1050000000000000,34,0.04427,3.792073,3.705882,35883.266,0.022614,6.479189
1050000000000000,42,0.044178,3.869862,1.571428,51480.914,0.022728,2.544792
1040000000000000,52,0.044132,3.936726,1.846154,65608.78,0.022731,4.533105
1040000000000000,69,0.044094,4.009136,1.333333,77437.65,0.022678,4.648137
1030000000000000,37,0.043843,3.824644,3.459459,25512.219,0.022638,7.650557
1030000000000000,33,0.043763,3.77994,1.818182,38638.027,0.022654,2.987773
1020000000000000,25,0.043689,3.655076,0.64,5121.0576,0.022644,0.729798
1010000000000000,40,0.043495,3.853046,1,33718.582,0.022732,1.190947
1010000000000000,67,0.04338,4.002309,2.835821,132029.2,0.022703,11.861795
1010000000000000,37,0.043364,3.824644,2.108108,36702.246,0.022669,3.349731
1010000000000000,26,0.043314,3.674065,0.538462,14339.387,0.022633,0.765714
1000000000000000,44,0.043202,3.885575,1.772727,86490.66,0.022727,4.206991
997000000000000,72,0.043121,4.018588,3.388889,215597.98,0.02272,10.122602
992000000000000,37,0.04302,3.824644,3.027027,26809.547,0.022689,3.64342
987000000000000,41,0.042918,3.861771,1.317073,50326.793,0.022739,1.544953
984000000000000,58,0.04285,3.966723,0.827586,68580.1,0.022705,2.240448
972000000000000,40,0.042584,3.853046,1.25,32776.58,0.022677,1.615966
969000000000000,41,0.042515,3.861771,2.634146,83531.5,0.022771,3.392641
951000000000000,40,0.042117,3.853046,1.6,35215.133,0.022669,1.821841
942000000000000,27,0.041919,3.691966,1.259259,17331.426,0.022641,2.563769
922000000000000,57,0.041463,3.962234,2.736842,93116.055,0.022733,5.29973
920000000000000,57,0.041423,3.962234,1.508772,123355.82,0.02278,2.769463
917000000000000,37,0.041358,3.824644,0.918919,39009.598,0.022709,1.326742
916000000000000,30,0.041346,3.739711,0.8,18223.328,0.022638,1.179097
913000000000000,48,0.041263,3.913122,3.458333,72395.04,0.022712,7.340451
902000000000000,44,0.041026,3.885575,0.818182,55873.168,0.02267,2.285824
876000000000000,38,0.040434,3.834657,3.842105,22424.266,0.022679,5.111795
874000000000000,54,0.040384,3.947442,4.111111,128478.586,0.022757,8.623471
854000000000000,42,0.039903,3.869862,2.523809,45203.477,0.022726,3.274364
851000000000000,49,0.039841,3.919299,2.408163,66309.57,0.022705,5.233747
846000000000000,29,0.039734,3.72485,2.068965,9852.412,0.022637,2.189118
839000000000000,45,0.03956,3.892867,2.444444,53861.44,0.022681,4.604173
837000000000000,43,0.03951,3.877942,3.116279,105669.41,0.022762,3.881583
836000000000000,43,0.039485,3.877942,0.651163,55813.582,0.022698,0.821497
832000000000000,33,0.039383,3.77994,1.757576,32012.234,0.02263,2.047996
825000000000000,29,0.03923,3.72485,3.586207,35519.844,0.022728,4.193188
820000000000000,34,0.039105,3.792073,2,44507.215,0.022665,2.931169
818000000000000,44,0.039058,3.885575,8.636364,39812.33,0.022655,15.502938
816000000000000,59,0.039015,3.971098,3.152542,163593.58,0.02274,8.662987
811000000000000,24,0.038901,3.634514,3.333333,5003.778,0.022634,3.549136
775000000000000,44,0.03803,3.885575,2.318182,70008.875,0.022736,3.972382
765000000000000,37,0.037781,3.824644,5.567567,48740.36,0.02271,8.57548
753000000000000,28,0.037474,3.708874,0.428571,17526.975,0.022619,1.455556
751000000000000,41,0.037419,3.861771,0.97561,45085.4,0.022722,1.481189
747000000000000,28,0.037333,3.708874,1,17630.12,0.022635,1.135492
740000000000000,31,0.037155,3.753913,0.83871,9659.504,0.022612,0.931087
736000000000000,33,0.037052,3.77994,1.030303,20314.252,0.02265,1.122159
733000000000000,139,0.03697,4.127139,4.10072,569650.2,0.022818,32.627872
732000000000000,27,0.036956,3.691966,1.111111,13682.008,0.022626,1.168896
731000000000000,31,0.036931,3.753913,0.516129,57903.723,0.022701,1.134524
726000000000000,42,0.036798,3.869862,8.952381,37630.094,0.022679,13.472115
721000000000000,280,0.036668,4.18921,0.35,2074496.4,0.022883,7.292613
715000000000000,30,0.036511,3.739711,1,41113.387,0.022691,1.215785
