Subgraph,Degree,Eigenvector,Information,LAC,Betweenness,Closeness,Network
1.62E+15,43,0.055008132,3.8779418,4.0930233,22229.754,0.022698905,5.424703
1.60E+15,49,0.05465296,3.9192991,1.2653061,46019.637,0.022731736,1.457287
1.59E+15,49,0.054380655,3.9192991,0.81632656,47592.047,0.022731433,1.3699112
1.51E+15,42,0.053053536,3.8698623,1.4285715,31740.85,0.022676565,2.3362818
1.50E+15,41,0.052825082,3.8617713,3.0731707,37730.676,0.022670407,3.8403733
1.48E+15,51,0.052455466,3.9310927,4.0784316,68011.15,0.02272636,9.23121
1.47E+15,57,0.052403055,3.962234,1.2631578,77812.82,0.02268293,2.5573885
1.46E+15,48,0.052209776,3.9131224,1.875,38685.176,0.022709029,2.8153727
1.45E+15,55,0.05201466,3.9524896,1.1272727,84811.69,0.022767005,1.936318
1.40E+15,34,0.051140983,3.7920728,2.3529413,34482.035,0.022698602,2.7320416
1.40E+15,59,0.051049605,3.9710984,2.8135593,96077.96,0.022727577,6.174324
1.39E+15,56,0.050947793,3.9574172,3.0357144,107386.3,0.022766292,7.119703
1.38E+15,37,0.050729565,3.824644,0.8648649,18432.852,0.022677474,0.9650383
1.35E+15,39,0.050244972,3.8440123,0.5641026,43303.367,0.022713993,0.6717468
1.35E+15,44,0.050155155,3.885575,4.090909,67642.28,0.022751847,4.859096
1.35E+15,71,0.05013638,4.015415,1.8591549,165277.8,0.022756524,6.775835
1.33E+15,57,0.049794585,3.962234,1.4035088,119694.805,0.022756727,3.8461666
1.33E+15,36,0.04973318,3.8142917,1.6666666,53817.89,0.022726867,2.008759
1.32E+15,45,0.049700815,3.8928666,0.62222224,50582.676,0.022708623,0.77039534
1.32E+15,41,0.049656115,3.8617713,2.487805,21008.63,0.02270022,3.571577
1.31E+15,55,0.049509507,3.9524896,2.2181818,86809.664,0.022701334,3.766461
1.31E+15,54,0.049394894,3.9474416,4.2222223,64477.207,0.022744734,6.8572545
1.30E+15,40,0.049158327,3.8530462,2.95,31287.172,0.02265689,7.1103625
1.28E+15,31,0.048853513,3.7539134,0.2580645,15653.022,0.022643993,0.26666668
1.28E+15,39,0.048810024,3.8440123,0.71794873,67271.41,0.022674646,1.5750352
1.27E+15,42,0.048672207,3.8698623,7.952381,9162.269,0.022635337,12.416358
