Protein,Priority Fun_GO
YDL028C,0.143518519
YCR086W,0.143518519
YOR329C,0.143518519
YDR174W,0.143518519
YML126C,0.143518519
YNR047W,0.143518519
YMR304W,0.143518519
YFL017W-A,0.143518519
YLL021W,0.143518519
YHR089C,0.143518519
YOL078W,0.143518519
YNL207W,0.143518519
YBL004W,0.143518519
YOR210W,0.143518519
YNL107W,0.143518519
YOL012C,0.143518519
YML028W,0.143518519
YOR260W,0.143518519
YDL208W,0.143518519
YCL024W,0.143518519
YGL127C,0.143518519
YDR146C,0.143518519
YNL147W,0.143518519
YLR106C,0.143518519
YNL298W,0.143518519
YKL018W,0.143518519
YDR439W,0.143518519
YIL143C,0.143518519
YOL090W,0.143518519
YER172C,0.143518519
YOL145C,0.143518519
YNL127W,0.143518519
YLR197W,0.143518519
YNL002C,0.143518519
YOR206W,0.143518519
YGL026C,0.143518519
YDR335W,0.143518519
YLR335W,0.143518519
YJR063W,0.143518519
YIL079C,0.143518519
YAR018C,0.143518519
YFR051C,0.143518519
YNR035C,0.143518519
YJR110W,0.143518519
YHR064C,0.143518519
YAL005C,0.143518519
YPL139C,0.143518519
YMR291W,0.143518519
YFR001W,0.143518519
YOL135C,0.143518519
YLR354C,0.143518519
YDR226W,0.143518519
YIL113W,0.143518519
YPL115C,0.143518519
YPR159W,0.143518519
YER138C,0.143518519
YDR023W,0.143518519
YHR193C,0.143518519
YBR280C,0.143518519
YGR002C,0.143518519
YIL045W,0.143518519
YDR037W,0.143518519
YDR167W,0.143518519
YJR138W,0.143518519
YKL010C,0.143518519
YER062C,0.143518519
YLR432W,0.143518519
YPR137W,0.143518519
YGR252W,0.143518519
YJL194W,0.143518519
YBR079C,0.143518519
YBL076C,0.143518519
YPL178W,0.143518519
YIL076W,0.143518519
YLR144C,0.143518519
YNL047C,0.143518519
YMR061W,0.143518519
YLR309C,0.143518519
YCR094W,0.143518519
YIL159W,0.143518519
YJL058C,0.143518519
YBL103C,0.143518519
YOR128C,0.143518519
YNR052C,0.143518519
YGL256W,0.143518519
YGL202W,0.143518519
YNL093W,0.143518519
YLR438C-A,0.143518519
YIL105C,0.143518519
YJR139C,0.143518519
YHR158C,0.143518519
YGR091W,0.143518519
YPL242C,0.143518519
YML048W,0.143518519
YDR311W,0.143518519
YJR059W,0.143518519
YKL016C,0.143518519
YDR334W,0.143518519
YOL004W,0.143518519
YGR087C,0.143518519
YLR109W,0.143518519
YKR046C,0.143518519
YDR422C,0.143518519
YGR104C,0.143518519
YBR135W,0.143518519
YHR152W,0.143518519
YOR339C,0.143518519
YLR248W,0.143518519
YCR005C,0.143518519
YML092C,0.143518519
YHR084W,0.143518519
YHR137W,0.143518519
YMR192W,0.143518519
YBR154C,0.143518519
YOR304W,0.143518519
YFL010C,0.143518519
YJR132W,0.143518519
YLR386W,0.143518519
YGL172W,0.143518519
YAL035W,0.143518519
YGR144W,0.143518519
YDR122W,0.143518519
YBL104C,0.143518519
YDR298C,0.143518519
YLR079W,0.143518519
YDR448W,0.143518519
YMR198W,0.143518519
YBR176W,0.143518519
YPR030W,0.143518519
YOL149W,0.143518519
YPL074W,0.143518519
YLR182W,0.143518519
YJR065C,0.143518519
YBR082C,0.143518519
YLR208W,0.143518519
YMR229C,0.143518519
YBR205W,0.143518519
YKR017C,0.143518519
YDR087C,0.143518519
YDR130C,0.143518519
YJL033W,0.143518519
YPR187W,0.143518519
YOR224C,0.143518519
YNL044W,0.143518519
YJL041W,0.143518519
YIL063C,0.143518519
YKL211C,0.143518519
YKL171W,0.143518519
YGR274C,0.143518519
YDL065C,0.143518519
YJL044C,0.143518519
YLL034C,0.143518519
YDR162C,0.143518519
YPR103W,0.143518519
YBR221C,0.143518519
YOR178C,0.143518519
YNL284C,0.143518519
YPL237W,0.143518519
YMR287C,0.143518519
YGR161C,0.143518519
YPL038W,0.143518519
YPL169C,0.143518519
YJR159W,0.143518519
YML056C,0.143518519
YLR372W,0.143518519
YBL047C,0.143518519
YMR273C,0.143518519
YLR245C,0.143518519
YMR153W,0.143518519
YGL229C,0.143518519
YLR449W,0.143518519
YDR353W,0.143518519
YDL002C,0.143518519
YOL077C,0.143518519
YER136W,0.143518519
YJR033C,0.143518519
YLR002C,0.143518519
YKR028W,0.143518519
YLR328W,0.143518519
YKL073W,0.143518519
YMR309C,0.143518519
YBR152W,0.143518519
YMR276W,0.143518519
YNL313C,0.143518519
YLR127C,0.143518519
YGL178W,0.143518519
YAL032C,0.143518519
YKL173W,0.143518519
YMR138W,0.143518519
YDR238C,0.143518519
YKL021C,0.143518519
YER132C,0.143518519
YMR102C,0.143518519
YDL006W,0.143518519
YOR233W,0.143518519
YGL070C,0.143518519
YCL014W,0.143518519
YOR207C,0.143518519
YBR275C,0.143518519
YIR026C,0.143518519
YBR106W,0.143518519
YLR424W,0.143518519
YDL113C,0.143518519
YKL009W,0.143518519
