YMR059W,1,red
YLR044C,0,blue
YGR262C,0,blue
YDR523C,0,blue
YGL048C,1,red
YMR049C,1,red
YER173W,0,blue
YER179W,0,blue
YDL043C,1,red
YPR110C,1,red
YMR106C,0,blue
YLR208W,1,red
YJL080C,0,blue
YLR105C,1,red
YBR170C,0,blue
YKL213C,0,blue
YAR008W,1,red
YPL083C,1,red
YLR025W,0,blue
YMR165C,0,blue
YOL009C,0,blue
YLR170C,0,blue
YDR463W,0,blue
YGR209C,0,blue
YOR056C,1,red
YPL210C,1,red
YER123W,0,blue
YAR042W,0,blue
YDL116W,0,blue
YDR192C,0,blue
YKL068W,0,blue
YGR119C,1,red
YGL172W,1,red
YJL041W,1,red
YMR153W,0,blue
YJR042W,1,red
YJL061W,1,red
YIL115C,1,red
YGL092W,1,red
YBL079W,0,blue
YFR002W,1,red
YER107C,0,blue
YKR082W,0,blue
YKL057C,0,blue
YML103C,0,blue
YPR174C,0,blue
YOR046C,1,red
YER105C,0,blue
YMR255W,0,blue
YMR258C,0,blue
YDL207W,1,red
YDL088C,0,blue
YDR532C,1,red
YGL093W,1,red
YBR244W,0,blue
YDL226C,0,blue
YGR144W,0,blue
YGR058W,0,blue
YDR409W,0,blue
YNL278W,0,blue
YGL037C,0,blue
YKR096W,0,blue
YOR014W,0,blue
YER112W,1,red
YFL034C-B,1,red
YLR016C,0,blue
YBL036C,0,blue
YGR136W,0,blue
YNL110C,1,red
YLR147C,1,red
YEL015W,0,blue
YCR093W,1,red
YPR093C,0,blue
YNL007C,1,red
YMR104C,0,blue
YLR421C,0,blue
YIL033C,0,blue
YHR070W,1,red
YOR269W,0,blue
YLR403W,1,red
YJL124C,0,blue
YIL053W,0,blue
YOL123W,1,red
YOR362C,1,red
YGL131C,0,blue
YER041W,0,blue
YDL156W,0,blue
YPL012W,1,red
YPL124W,1,red
YFR031C,1,red
YMR125W,0,blue
YLR134W,0,blue
YHR170W,1,red
YBL016W,0,blue
YLR113W,0,blue
YGL105W,0,blue
YNL207W,1,red
YBL004W,1,red
YNL107W,0,blue
YDR146C,0,blue
YNL147W,1,red
YIL079C,0,blue
YPL139C,0,blue
YMR291W,0,blue
YER138C,0,blue
YHR193C,0,blue
YER062C,0,blue
YPL178W,0,blue
YMR061W,1,red
YNR052C,1,red
YLR438C-A,1,red
YJR059W,0,blue
YML092C,1,red
YFL010C,0,blue
YJR132W,0,blue
YLR079W,0,blue
YMR198W,1,red
YPR030W,0,blue
YOL149W,1,red
YLR182W,1,red
YDR130C,1,red
YPR187W,1,red
YPR103W,1,red
YGR161C,0,blue
YPL038W,0,blue
YPL169C,1,red
YLR328W,0,blue
YNL313C,1,red
YLR127C,1,red
YLR424W,1,red
YKL009W,0,blue
YDL060W,1,red
YMR314W,1,red
YLR082C,0,blue
YGR278W,1,red
YIL038C,0,blue
YDL190C,0,blue
YGL011C,1,red
YJR070C,0,blue
YNL023C,0,blue
YLR086W,1,red
YEL066W,0,blue
YER094C,1,red
YPR175W,1,red
YDR356W,1,red
YPL211W,1,red
YGR135W,0,blue
YBR195C,0,blue
YJL047C,0,blue
YDR378C,1,red
YMR080C,0,blue
YLR153C,1,red
YPR040W,1,red
YGL238W,1,red
YGR095C,1,red
YJL140W,0,blue
YNL223W,0,blue
YDR482C,0,blue
YGL090W,0,blue
YDR054C,1,red
YFR034C,0,blue
YDR465C,0,blue
YFR050C,1,red
YBL032W,0,blue
YGL213C,1,red
YOL038W,1,red
YDR101C,0,blue
YML099C,0,blue
YNL288W,0,blue
YPR072W,0,blue
YGR233C,0,blue
YNL042W,0,blue
YBL034C,1,red
YML007W,0,blue
YKL143W,0,blue
YDR404C,1,red
