Level1,IC,LAC,Nor(IC),Nor(LAC),Nor(IC)*Nor(LAC)
YHR086W,3.5892177,5.818182,0.326670905,0.32681422,0.106760697
YNL317W,3.6740646,5.3846154,0.356667133,0.297386624,0.106068035
YCR057C,3.9915602,4.15625,0.46891249,0.214013411,0.100353561
YPL093W,3.8440123,4.5128207,0.416749352,0.238215041,0.099275964
YOL139C,3.9474416,4.2222223,0.453315083,0.218491169,0.099045342
YCL018W,4.140478,3.7820513,0.521559933,0.18861531,0.098374189
YGR090W,3.9710984,4.1355934,0.461678557,0.212611379,0.098158115
YGL019W,3.8142917,4.5555553,0.406242122,0.241115579,0.097951305
YBR272C,3.6126745,5.304348,0.334963671,0.291938611,0.097788829
YKL129C,3.9192991,4.244898,0.443365764,0.220030243,0.097553877
YBR283C,3.5892177,5.3636365,0.326670905,0.295962717,0.096682409
YGR092W,3.9574172,4.107143,0.456841793,0.210680357,0.096247592
YCR088W,3.9474416,4.111111,0.453315083,0.210949678,0.095626671
YPL240C,3.9877188,4,0.467554426,0.203408208,0.095104408
YEL017C-A,3.6740646,4.923077,0.356667133,0.26606049,0.094895032
YDL145C,3.9310927,4.0784316,0.447535198,0.208731619,0.093414747
YDL126C,4.077517,3.7551022,0.499301105,0.186786186,0.093262549
YJL076W,3.7920728,4.4117646,0.398386995,0.23135603,0.092169234
YPL274W,3.5892177,5.090909,0.326670905,0.277451802,0.090635431
YJL138C,3.885575,4.090909,0.431443163,0.209578502,0.090421212
YPL140C,3.9367256,3.9615386,0.449526617,0.200797706,0.090263913
YDL225W,3.8779418,4.0930233,0.42874457,0.209722006,0.089917171
YFL039C,4.1147065,3.5396826,0.512448843,0.172164947,0.088225728
YER006W,3.6126745,4.869565,0.334963671,0.262428454,0.087903998
YPR028W,3.6919663,4.5185184,0.362995985,0.238601763,0.086611482
YCR002C,3.885575,3.9545455,0.431443163,0.200323061,0.086428015
YBR020W,4.080819,3.54,0.500468473,0.17218649,0.08617391
YGR240C,3.885575,3.909091,0.431443163,0.197237914,0.085096949
YOR181W,4.015415,3.6056337,0.477345963,0.176641266,0.084318995
YDL188C,3.9065285,3.787234,0.438850929,0.188967077,0.082928377
YOR267C,3.824644,3.945946,0.409902008,0.199739384,0.081873575
YDL008W,3.140127,8.181818,0.167902261,0.487241996,0.081809033
YBR198C,3.9192991,3.7142856,0.443365764,0.184015829,0.081586319
YIL142W,3.8346567,3.8421052,0.413441834,0.192691367,0.079666672
YHR197W,3.885575,3.6818182,0.431443163,0.181812159,0.078441613
YBL026W,4.018588,3.3888888,0.478467725,0.161930074,0.077478314
YIL075C,3.767338,3.875,0.389642412,0.194924045,0.075950675
YPL203W,3.885575,3.590909,0.431443163,0.175641852,0.075779476
YOR151C,3.9131224,3.4583333,0.441182094,0.166643501,0.073520129
YNL290W,3.7920728,3.7058823,0.398386995,0.183445469,0.073082289
YDL213C,3.9915602,3.28125,0.46891249,0.154624273,0.072505253
YOL133W,4.0839057,3.1176472,0.501559725,0.143520011,0.071983858
YBR118W,4.088547,3.1047618,0.503200581,0.142645437,0.071779267
YJR007W,3.6126745,4.0869565,0.334963671,0.209310232,0.070111324
YHR166C,3.6550763,3.92,0.349954131,0.197978344,0.069283339
YDL232W,3.4751234,4.5555553,0.286334738,0.241115579,0.069039766
YOL094C,3.824644,3.4594595,0.409902008,0.16671994,0.068338838
YDL017W,4.0429354,3.0617285,0.487075349,0.139724625,0.06805642
YML085C,4.0379505,3.063291,0.485313019,0.139830677,0.067861648
YMR001C,3.9710984,3.1525424,0.461678557,0.145888464,0.067353575
YOR039W,3.7799404,3.5151515,0.394097784,0.17049994,0.067193649
YLR078C,3.6740646,3.7692308,0.356667133,0.187745141,0.066962521
YFR051C,3.3135593,5.285714,0.229216403,0.29067386,0.066627217
YOR341W,3.6345143,3.8333333,0.342684774,0.192095989,0.065828371
YPL235W,4.030013,3,0.482506846,0.135534908,0.065396521
YGR162W,3.8617713,3.2682927,0.423027755,0.153744819,0.065038326
YBL099W,4.0942864,2.8990827,0.505229652,0.128685318,0.065015638
YDL134C,3.7088745,3.5714285,0.368973602,0.174319646,0.064319348
YJL020C,4.072236,2.9052632,0.497434095,0.129104808,0.064221133
YLR175W,3.9574172,3.0357144,0.456841793,0.137958962,0.06302542
YDL047W,4.054495,2.8837209,0.491162055,0.127642661,0.062693232
YHR016C,4.018588,2.9166667,0.478467725,0.129878802,0.062142815
YNL094W,3.8779418,3.1162791,0.42874457,0.143427154,0.061493613
YER177W,4.079115,2.808081,0.499866052,0.122508732,0.061237956
YJR121W,4.1158934,2.7559056,0.512868452,0.118967415,0.061014634
YPR198W,3.5070434,4,0.29761953,0.203408208,0.060538255
YGR097W,3.5892177,3.7272727,0.326670905,0.184897306,0.06040057
YER082C,3.9192991,2.9795918,0.443365764,0.134149736,0.0594774
YDR128W,3.8617713,3.0731707,0.423027755,0.140501245,0.059435926
YPL204W,4.108215,2.7166667,0.510153879,0.116304142,0.059333009
YBR217W,4.064802,2.7692308,0.494805926,0.119871841,0.059313297
YJL095W,3.9667227,2.8965516,0.4601316,0.128513523,0.059133133
YDL132W,4.0023093,2.835821,0.472712658,0.124391537,0.058801454
YBR079C,3.6126745,3.5652175,0.334963671,0.173898085,0.058249541
YDR216W,3.767338,3.1875,0.389642412,0.148261151,0.057768833
YNL132W,3.767338,3.1875,0.389642412,0.148261151,0.057768833
YER025W,3.6740646,3.3846154,0.356667133,0.161640024,0.057651684
YGL190C,3.998817,2.7878788,0.471478013,0.121137542,0.057113687
YJL098W,3.9710984,2.8135593,0.461678557,0.122880562,0.056731321
YML064C,4.145664,2.597561,0.523393358,0.108220045,0.056641653
YBL039C,3.824644,3.0270271,0.409902008,0.137369326,0.056307963
YOR361C,3.5070434,3.7894738,0.29761953,0.1891191,0.056285538
YAL021C,3.8530462,2.95,0.419943139,0.132141243,0.055491808
YBR069C,3.7088745,3.2142856,0.368973602,0.150079179,0.055375255
YDR429C,3.359922,4.266667,0.245607174,0.221507777,0.054403899
YGR083C,3.6126745,3.3913043,0.334963671,0.162094022,0.054295609
YDL059C,4.0023093,2.686567,0.472712658,0.114261176,0.054012704
YHR082C,3.962234,2.7368422,0.458544693,0.117673519,0.053958568
YLR096W,3.9667227,2.724138,0.4601316,0.116811243,0.053748544
YOR244W,3.3135593,4.428571,0.229216403,0.232496736,0.053292066
YLR259C,4.1481676,2.5,0.524278465,0.101598258,0.053265779
YNL189W,4.1707444,2.4722223,0.532260122,0.099712893,0.053073197
YMR309C,3.5367074,3.5,0.30810675,0.169471558,0.052215331
YAL007C,3.6550763,3.2,0.349954131,0.149109568,0.052181509
YLR180W,4.072236,2.5473685,0.497434095,0.104813314,0.052137716
YIL004C,3.5070434,3.5789473,0.29761953,0.174829972,0.052032814
YOL132W,3.6919663,3.1111112,0.362995985,0.143076392,0.051936156
YML109W,3.7920728,2.8823528,0.398386995,0.127549804,0.050814183
YLR268W,3.6550763,3.12,0.349954131,0.143679704,0.050281306
YGL198W,3.5638938,3.3333333,0.317718056,0.158159339,0.050250078
YJL002C,3.5367074,3.4,0.30810675,0.162684228,0.050124109
YJR068W,3.767338,2.875,0.389642412,0.127050745,0.049504359
YIL061C,4.0023093,2.5373135,0.472712658,0.104130848,0.04922397
YFL037W,4.049944,2.452381,0.489553124,0.098366199,0.04815548
YLR293C,3.7248504,2.8965516,0.374621619,0.128513523,0.048143944
YLR314C,3.7248504,2.8965516,0.374621619,0.128513523,0.048143944
YCR024C-A,3.359922,3.8666666,0.245607174,0.19435843,0.047735825
YDR148C,3.8617713,2.6341465,0.423027755,0.110703223,0.046830536
YNL113W,3.6740646,2.9230769,0.356667133,0.130313883,0.046478679
YLR337C,3.4018607,3.625,0.260433913,0.17795572,0.046345705
YJL187C,3.7920728,2.7058823,0.398386995,0.115572169,0.046042449
YGL158W,3.8142917,2.6666667,0.406242122,0.112910477,0.045868992
YDR414C,3.8698623,2.5714285,0.425888195,0.106446346,0.045334242
YBR127C,4.099634,2.318584,0.507120208,0.089284955,0.045278205
YOR260W,3.2047052,4.5,0.190732823,0.237344858,0.045269455
YKR026C,4.047619,2.3614457,0.488731158,0.09219412,0.045058139
YLR258W,3.4401622,3.4117646,0.27397478,0.16348273,0.044790145
YMR284W,3.6550763,2.88,0.349954131,0.127390112,0.044580696
YDL200C,3.9310927,2.4705882,0.447535198,0.099601982,0.044575393
YIL095W,3.767338,2.6875,0.389642412,0.114324501,0.044545675
YNR031C,3.80336,2.6285715,0.402377399,0.11032483,0.044392218
YMR273C,3.4018607,3.5,0.260433913,0.169471558,0.044136141
YER161C,3.8698623,2.5238094,0.425888195,0.10321428,0.043957744
YJL008C,4.027249,2.3466666,0.481529679,0.091191014,0.04391118
YER125W,3.983797,2.387097,0.466167938,0.093935158,0.043789559
YBR072W,4.099634,2.2654867,0.507120208,0.085681066,0.0434506
YDR036C,3.4751234,3.2222223,0.286334738,0.150617869,0.043127128
YFL016C,3.767338,2.625,0.389642412,0.11008242,0.04289278
YKL166C,3.6919663,2.7407408,0.362995985,0.11793813,0.042811068
YGL104C,3.6740646,2.7692308,0.356667133,0.119871841,0.042754346
YOR174W,3.6550763,2.8,0.349954131,0.121960248,0.042680493
YCR009C,3.8617713,2.487805,0.423027755,0.100770543,0.042628737
YNL064C,4.0839057,2.254902,0.501559725,0.084962648,0.042613842
YDR228C,3.6345143,2.8333333,0.342684774,0.124222689,0.042569224
YHR107C,3.8928666,2.4444444,0.434020988,0.097827516,0.042459195
YIL128W,3.6126745,2.8695652,0.334963671,0.126681867,0.042433823
YDR477W,3.9192991,2.4081633,0.443365764,0.095364998,0.042281575
YAR019C,3.313559,3.7142856,0.229216297,0.184015829,0.042179427
YIL156W,3.4018607,3.375,0.260433913,0.160987395,0.041926577
YNL243W,3.4018607,3.375,0.260433913,0.160987395,0.041926577
YGR052W,3.8440123,2.4615386,0.416749352,0.098987756,0.041253083
YMR146C,3.2047052,4.1666665,0.190732823,0.214720413,0.040954231
YDR335W,3.6345143,2.75,0.342684774,0.118566583,0.040630963
YBR055C,4.089995,2.1886792,0.503712498,0.080467888,0.040532681
YIR003W,3.4401622,3.1764705,0.27397478,0.147512543,0.040414716
YDR277C,3.5638938,2.857143,0.317718056,0.125838732,0.039981237
YGL161C,3.5367074,2.9,0.30810675,0.128747578,0.039667998
YHL007C,3.7799404,2.4848485,0.394097784,0.100569875,0.039634365
YJR090C,3.7397115,2.5333333,0.379875517,0.103860699,0.039454137
YEL051W,3.5070434,2.9473684,0.29761953,0.131962627,0.039274655
YDR507C,3.4751234,3,0.286334738,0.135534908,0.038808352
YKL103C,3.885575,2.3181818,0.431443163,0.089257656,0.038509606
YOR005C,3.6126745,2.6956522,0.334963671,0.114877818,0.038479896
YPR041W,3.6126745,2.6956522,0.334963671,0.114877818,0.038479896
YAL016W,3.5892177,2.7272727,0.326670905,0.117024006,0.038228338
YJL069C,3.80336,2.4,0.402377399,0.094810928,0.038149774
YLR026C,3.5638938,2.7619047,0.317718056,0.119374594,0.037927464
YER165W,3.998817,2.1818182,0.471478013,0.080002209,0.037719282
YDL101C,3.9524896,2.2181818,0.455099721,0.082470326,0.037532223
YNL175C,3.6740646,2.5384614,0.356667133,0.10420876,0.03716784
YJR076C,3.824644,2.3243244,0.409902008,0.089674575,0.036757788
YPR171W,3.4751234,2.8888888,0.286334738,0.127993424,0.036648964
YPR111W,3.7920728,2.3529413,0.398386995,0.091616898,0.036498981
YLR191W,4.07566,2.0618556,0.498644594,0.071859951,0.035832576
YGR020C,3.3135593,3.2857144,0.229216403,0.154927287,0.035511875
YLR291C,4.0122695,2.0857143,0.476233923,0.07347932,0.034993345
YGL003C,3.6126745,2.5217392,0.334963671,0.103073769,0.034525968
YDR480W,3.5892177,2.5454545,0.326670905,0.104683405,0.034197022
YJR065C,3.140127,4,0.167902261,0.203408208,0.034152698
YER171W,3.9877188,2.063492,0.467554426,0.071971019,0.033650369
YBR160W,4.1753035,1.930131,0.533871917,0.062919368,0.033590884
YNL025C,3.80336,2.2285714,0.402377399,0.083175503,0.033467943
YBR108W,3.4018607,2.875,0.260433913,0.127050745,0.033088323
YNL250W,3.767338,2.25,0.389642412,0.084629933,0.032975411
YNL030W,4.027249,2,0.481529679,0.067661608,0.032581072
YBR103W,3.7248504,2.275862,0.374621619,0.086385272,0.03236179
YNL298W,3.5892177,2.4545455,0.326670905,0.098513111,0.032181367
YLR229C,3.7088745,2.2857144,0.368973602,0.087053987,0.032120623
YPL141C,3.4401622,2.7058823,0.27397478,0.115572169,0.031663859
YDR211W,3.4401622,2.7058823,0.27397478,0.115572169,0.031663859
YDL155W,3.7799404,2.1818182,0.394097784,0.080002209,0.031528693
