YMR165C,0.113888399,0.113888399,1,,,YAL001C,0
YGL093W,0.105083417,0.105083417,1,,,YAL003W,1
YBR244W,0.105083417,0.105083417,1,,,YAL012W,0
YPL192C,0.056642,0.056642,1,,,YAL025C,0
YPL014W,0.033591,0.033591,1,,,YAL032C,0
YJR029W,0.220016,0.220016,1,,,YAL033W,0
YLR271W,0.125809783,0.125809783,1,,,YAL034C-B,0
YGL227W,0.113888399,0.113888399,1,,,YAL034W-A,0
YPL048W,0.071779,0.071779,1,,,YAL035C-A,0
YOR006C,0.068056,0.068056,1,,,YAL035W,0
YLR231C,0.068056,0.068056,1,,,YAL038W,0
YCR065W,0.033591,0.033591,1,,,YAL041W,0
YDR223W,0.033591,0.033591,1,,,YAL043C,0
YCL050C,0.113888399,0.113888399,1,,,YAR007C,0
YLR136C,0.028198,0.028198,1,,,YAR008W,0
YGL157W,0.105083417,0.105083417,1,,,YAR019C,0
YLR011W,0.013414085,0.013414085,1,,,YBL003C,0
YHR207C,0.12048205,0.12048205,1,,,YBL004W,0
YPL046C,0.028198,0.028198,1,,,YBL014C,0
YIL017C,0.113888399,0.113888399,1,,,YBL018C,0
YPL245W,0.064221,0.064221,1,,,YBL020W,0
YLR410W-B,0.046831,0.046831,1,,,YBL023C,0
YGR269W,0.12048205,0.12048205,1,,,YBL026W,0
YOL089C,0.095627,0.095627,1,,,YBL030C,0
YOR173W,0.113888399,0.113888399,1,,,YBL034C,0
YLR118C,0.105083417,0.105083417,1,,,YBL035C,0
YLR270W,0.113888399,0.113888399,1,,,YBL040C,0
YER168C,0.013414085,0.013414085,1,,,YBL041W,1
YJR047C,0.064221,0.064221,1,,,YBL050W,0
YJR025C,0.013414085,0.013414085,1,,,YBL073W,0
YNL289W,0.013636565,0.013636565,1,,,YBL074C,0
YKL024C,0.013414085,0.013414085,1,,,YBL076C,1
YER104W,0.113555913,0.113555913,1,,,YBL077W,1
YIL145C,0.105083417,0.105083417,1,,,YBL084C,0
YLR032W,0.105083417,0.105083417,1,,,YBL092W,0
YNR027W,0.113888399,0.113888399,1,,,YBL097W,0
YPL208W,0.105083417,0.105083417,1,,,YBL102W,0
YAL061W,0.113888399,0.113888399,1,,,YBL105C,0
YMR180C,0.113888399,0.113888399,1,,,YBR002C,0
YNL284C-B,0.025605,0.025605,1,,,YBR004C,0
YMR045C,0.025605,0.025605,1,,,YBR009C,0
YGR161C-D,0.025605,0.025605,1,,,YBR011C,0
YBL005W-B,0.025605,0.025605,1,,,YBR024W,0
YKL038W,0.106759873,0.106759873,1,,,YBR029C,0
YKL017C,0.105083417,0.105083417,1,,,YBR038W,0
YKR064W,0.104631125,0.104631125,1,,,YBR049C,0
YNL072W,0.105083417,0.105083417,1,,,YBR055C,0
YBR158W,0.12048205,0.12048205,1,,,YBR058C-A,1
YKR080W,0.12048205,0.12048205,1,,,YBR060C,0
YPL090C,0.105083417,0.105083417,1,,,YBR070C,0
YOR025W,0.12048205,0.12048205,1,,,YBR079C,0
YNL224C,0.105083417,0.105083417,1,,,YBR080C,0
YNL096C,0.105083417,0.105083417,1,,,YBR087W,0
YDL115C,0.105083417,0.105083417,1,,,YBR088C,0
YKL122C,0.12048205,0.12048205,1,,,YBR089C-A,1
YDL092W,0.12048205,0.12048205,1,,,YBR089W,1
