YJR091C,4.1892104,0.35
YBR160W,4.1753035,1.930131
YNL189W,4.1707444,2.4722223
YHR114W,4.152772,1.4772727
YJR045C,4.1516886,4.2413793
YLR259C,4.1481676,2.5
YML064C,4.145664,2.597561
YDR388W,4.1425548,4.0880504
YCL018W,4.140478,3.7820513
YMR047C,4.137511,1.4342105
YBL007C,4.127139,4.1007195
YPR110C,4.11796,3.3953488
YJR121W,4.1158934,2.7559056
YFL039C,4.1147065,3.5396826
YLR295C,4.1138253,0.208
YER133W,4.1126,4.7580647
YPL204W,4.108215,2.7166667
YBR196C,4.108215,1.8333334
YPR086W,4.103526,0.63793105
YBR072W,4.099634,2.2654867
YBR127C,4.099634,2.318584
YGL137W,4.097072,5.189189
YMR106C,4.0956726,3.090909
YER022W,4.0942864,1.6513761
YBL099W,4.0942864,2.8990827
YBR055C,4.089995,2.1886792
YBR106W,4.088547,5.7714286
YBR118W,4.088547,3.1047618
YOL133W,4.0839057,3.1176472
YNL064C,4.0839057,2.254902
YBR159W,4.0823956,6.6732674
YBR020W,4.080819,3.54
YLR288C,4.079115,0.32323232
YER177W,4.079115,2.808081
YDL126C,4.077517,3.7551022
YFR028C,4.07566,5.3195877
YIL035C,4.07566,5.0515466
YLR191W,4.07566,2.0618556
YHR030C,4.073985,4.375
YER081W,4.073985,0.22916667
YLR447C,4.072236,0.33684212
YLR180W,4.072236,2.5473685
YFR053C,4.072236,1.431579
YJL020C,4.072236,2.9052632
YBR017C,4.0704737,1.2553191
YOL055C,4.068592,1.2903225
YBR217W,4.064802,2.7692308
YKL152C,4.060816,1.3258427
YDL029W,4.060816,7.573034
YDR394W,4.054495,11.953488
YDL047W,4.054495,2.8837209
YFR024C-A,4.054495,1.6744186
YMR049C,4.049944,6.714286
YBR109C,4.049944,0.95238096
YHR135C,4.049944,1.6904762
YFL037W,4.049944,2.452381
YKR026C,4.047619,2.3614457
YDL017W,4.0429354,3.0617285
YMR059W,4.0405293,1.575
YGR040W,4.0379505,1.6202532
YML085C,4.0379505,3.063291
YLR372W,4.035391,8.769231
YLR453C,4.035391,0.23076923
YMR109W,4.035391,5.8717947
YPR154W,4.030013,0.15789473
YPL235W,4.030013,3
YJR022W,4.027249,3.9466667
YJL008C,4.027249,2.3466666
YNL030W,4.027249,2
YHR016C,4.018588,2.9166667
YBL026W,4.018588,3.3888888
YER118C,4.018588,1.9444444
YDR328C,4.018588,2.8333333
YLR423C,4.018588,1.1666666
YGL127C,4.015415,0.9577465
YOR181W,4.015415,3.6056337
YDR099W,4.015415,1.8591549
YLR310C,4.015415,1.2676057
YLR291C,4.0122695,2.0857143
YNL244C,4.009136,1.3333334
YMR032W,4.009136,1.7971015
YMR205C,4.0057755,8.3529415
YDL043C,4.0023093,2.3283582
YGR254W,4.0023093,1.9701493
YDL132W,4.0023093,2.835821
YIL061C,4.0023093,2.5373135
YBL085W,4.0023093,1.4029851
YCL027W,4.0023093,0.5970149
YDL059C,4.0023093,2.686567
YER165W,3.998817,2.1818182
YGR218W,3.998817,1.2121212
YBR200W,3.998817,1.6666666
YGL190C,3.998817,2.7878788
YAR014C,3.995267,1.0461539
YJL034W,3.995267,1.1076924
YOR061W,3.9915602,5
YCR034W,3.9915602,7.3125
YCR057C,3.9915602,4.15625
YDL213C,3.9915602,3.28125
YLR044C,3.9915602,2.75
YGL206C,3.9915602,1.3125
YER171W,3.9877188,2.063492
YPL240C,3.9877188,4
YER125W,3.983797,2.387097
YPL076W,3.983797,14.419354
YNL061W,3.9797077,7.377049
YDR034C,3.9797077,0.26229507
YDR171W,3.9797077,1.409836
YGR262C,3.975493,1.7333333
YML048W,3.975493,8.066667
YLR074C,3.975493,3.5666666
YOR119C,3.975493,4.5333333
YHR140W,3.975493,14.733334
YLR347C,3.975493,2.7666667
YGR090W,3.9710984,4.1355934
YJL098W,3.9710984,2.8135593
YMR308C,3.9710984,2.338983
YOR212W,3.9710984,1.7627119
YMR001C,3.9710984,3.1525424
YJL095W,3.9667227,2.8965516
YLR096W,3.9667227,2.724138
YDR331W,3.9667227,9.068966
YJL088W,3.9667227,0.82758623
YDR386W,3.962234,1.7192982
YNL135C,3.962234,1.2631578
YGL237C,3.962234,1.4035088
YHR082C,3.962234,2.7368422
YER110C,3.962234,1.5087719
YHL002W,3.9574172,1.3571428
YGL070C,3.9574172,1.5714285
YLR175W,3.9574172,3.0357144
YGR092W,3.9574172,4.107143
YDL101C,3.9524896,2.2181818
YCL040W,3.9524896,1.1272727
YCR088W,3.9474416,4.111111
YOL139C,3.9474416,4.2222223
YDR142C,3.9422092,1.2830188
YPR016C,3.9367256,7.0384617
YPL031C,3.9367256,0.96153843
YPL140C,3.9367256,3.9615386
YGL173C,3.9367256,1.6538461
YMR186W,3.9367256,1.8461539
YGL048C,3.9367256,6.8846154
YDL200C,3.9310927,2.4705882
YDL145C,3.9310927,4.0784316
YGR060W,3.9310927,10.745098
YKR081C,3.92526,9.32
YKL065C,3.92526,8.48
YER179W,3.92526,1.96
YJL130C,3.92526,1.88
YDR477W,3.9192991,2.4081633
YKL129C,3.9192991,4.244898
YDL055C,3.9192991,1.2653061
YER082C,3.9192991,2.9795918
YPL061W,3.9192991,0.81632656
YBR198C,3.9192991,3.7142856
YFL018C,3.9192986,0.8979592
YGR136W,3.913123,0.9583333
