P38278,YBR141C
P38112,YBR142W
P12385,YBR143C
P34215,YBR144C
P38113,YBR145W
P38120,YBR146W
P38115,YBR149W
P38114,YBR150C
P38282,YBR152W
P20434,YBR154C
P33313,YBR155W
P38283,YBR156C
P38284,YBR157C
P38285,YBR158W
P38286,YBR159W
P00546,YBR160W
P38287,YBR161W
P38288,YBR162C
P38374,YBR162W-A
P38289,YBR163W
P20049,YBR166C
P38291,YBR167C
P38292,YBR168W
P32590,YBR169C
P33755,YBR170C
P33754,YBR171W
P32909,YBR172C
P38293,YBR173C
P38294,YBR174C
P38123,YBR175W
P38122,YBR176W
P38295,YBR177C
P38296,YBR178W
P38297,YBR179C
P38125,YBR180W
P38128,YBR182C
P38298,YBR183W
P38299,YBR184W
P38300,YBR185C
P38126,YBR186W
P38301,YBR187W
P38302,YBR188C
P38303,YBR190W
P38127,YBR192W
P38304,YBR193C
P38305,YBR194W
P13712,YBR195C
P12709,YBR196C
P38306,YBR197C
P38129,YBR198C
P38131,YBR199W
P29366,YBR200W
P38307,YBR201W
P38132,YBR202W
P38308,YBR203W
P38139,YBR204C
P38130,YBR205W
P38310,YBR207W
P32528,YBR208C
P38311,YBR209W
P38313,YBR211C
P32831,YBR212W
P15807,YBR213W
P38314,YBR214W
Q01448,YBR215W
P38315,YBR216C
P38316,YBR217W
P32327,YBR218C
P38317,YBR219C
P38318,YBR220C
P32473,YBR221C
P38137,YBR222C
P38319,YBR223C
P38321,YBR225W
P38322,YBR226C
P38323,YBR227C
P38324,YBR228W
P38138,YBR229C
P38325,YBR230C
P38326,YBR231C
P38151,YBR233W
P38328,YBR234C
P38329,YBR235W
P32783,YBR236C
P21372,YBR237W
P38330,YBR238C
P38140,YBR239C
P38141,YBR240C
P38142,YBR241C
P38331,YBR242W
P07286,YBR243C
P38143,YBR244W
P38144,YBR245C
P38332,YBR246W
P38333,YBR247C
P33734,YBR248C
P32449,YBR249C
P33757,YBR250W
P33759,YBR251W
P33317,YBR252W
P32570,YBR253W
P38334,YBR254C
P38335,YBR255W
P38337,YBR258C
P38339,YBR260C
P38340,YBR261C
P38341,YBR262C
P37292,YBR263W
P38146,YBR264C
P38342,YBR265W
P38343,YBR266C
P38344,YBR267W
P38345,YBR269C
P38346,YBR270C
P38347,YBR271W
P38348,YBR272C
P38349,YBR273C
P38147,YBR274W
P29539,YBR275C
P38148,YBR276C
P38350,YBR277C
P27344,YBR278W
P38351,YBR279W
P38352,YBR280C
P38149,YBR281C
P36526,YBR282W
P38353,YBR283C
P38150,YBR284W
P38354,YBR285W
P37302,YBR286W
P38355,YBR287W
P38153,YBR288C
P18480,YBR289W
P38356,YBR290W
P38152,YBR291C
P38358,YBR293W
P38360,YBR295W
P38361,YBR296C
P38156,YBR298C
P38158,YBR299W
P38155,YBR301W
P0CX12,YBR302C
P25578,YCL004W
P25587,YCL005W
P25603,YCL007C
P25604,YCL008C
P25605,YCL009C
P25554,YCL010C
P25555,YCL011C
P25558,YCL014W
P25559,YCL016C
P25374,YCL017C
P04173,YCL018W
P25384,YCL019W
P25383,YCL020W
P25563,YCL023C
P25389,YCL024W
P25376,YCL025C
P37261,YCL026C-A
P11710,YCL027W
P25367,YCL028W
P11709,YCL029C
P00815,YCL030C
P25368,YCL031C
P25344,YCL032W
P25566,YCL033C
P25369,YCL034W
P25373,YCL035C
P25370,YCL036W
P25567,YCL037C
P25568,YCL038C
P25569,YCL039W
P17709,YCL040W
P25572,YCL042W
P17967,YCL043C
P25573,YCL044C
P25574,YCL045C
P25575,YCL046W
P25380,YCL048W
P25577,YCL049C
P16550,YCL050C
P25579,YCL051W
P25580,YCL052C
P25582,YCL054W
P25583,YCL055W
P25584,YCL056C
P25585,YCL058C
P25586,YCL059C
P25588,YCL061C
P25591,YCL063W
P25379,YCL064C
P37264,YCL065W
P25594,YCL069W
P25602,YCL076W
P25347,YCR001W
P25342,YCR002C
P25348,YCR003W
P25349,YCR004C
P08679,YCR005C
P25354,YCR007C
P25333,YCR008W
P25343,YCR009C
P25613,YCR010C
P25371,YCR011C
P00560,YCR012W
P25615,YCR014C
P25616,YCR015C
P25617,YCR016W
P23059,YCR020C-A
P25619,YCR021C
P25620,YCR022C
P25351,YCR023C
P25345,YCR024C
P32903,YCR024C-A
P25378,YCR027C
P25621,YCR028C
P32445,YCR028C-A
P25623,YCR030C
P25357,YCR033W
P25358,YCR034W
P25359,YCR035C
P25332,YCR036W
P25360,YCR037C
P25300,YCR038C
P0CY08,YCR039C
P0CY06,YCR040W
P37265,YCR041W
P23255,YCR042C
P25625,YCR044C
P25381,YCR045C
P25626,YCR046C
P25627,YCR047C
P25628,YCR048W
P25630,YCR050C
P25632,YCR052W
P16120,YCR053W
P25355,YCR054C
P25635,YCR057C
P25637,YCR059C
P25638,YCR060W
P25639,YCR061W
P25337,YCR063W
P10862,YCR066W
P25365,YCR067C
P25641,YCR068W
P25642,YCR071C
P25382,YCR072C
P25390,YCR073C
P17261,YCR075C
P25659,YCR076C
P25644,YCR077C
P25646,YCR079W
P25648,YCR081W
P25649,YCR082W
P16649,YCR084C
P25651,YCR086W
P37263,YCR087C-A
P25652,YCR087W
P15891,YCR088W
P25341,YCR091W
P25336,YCR092C
P25655,YCR093W
P25656,YCR094W
P25366,YCR095C
P0CY13,YCR096C
P25346,YCR098C
P25657,YCR099C
P25606,YCR100C
P25607,YCR101C
P25377,YCR105W
P25611,YCR106W
