K,silhouette,davies_bouldin,calinski_harabasz
2,0.23724251847934022,1.7610394687038573,217.52952340774536
3,0.23108353631430784,1.548616413608417,213.04469084660883
4,0.2261060696642077,1.2555426714786178,195.97164624270818
5,0.17844258188641596,1.4344859175905544,193.65849271185527
6,0.14520954722785243,1.4454140290326094,186.2707186849351
