Dataset,Nodes,Essential(labelled),Threshold_paper(3sigma),Accuracy_paper,MSE_paper,Threshold_Youden,Accuracy_Youden,MSE_Youden,ROC_AUC,PR_AUC
YDIP,5093,1167,0.41079242065702826,0.38876889848812096,0.6112311015118791,0.5006411771153504,0.8988808168073826,0.10111918319261731,0.8034511426252858,0.6743813386640012
YHQ,4683,1100,0.38181303625228236,0.4507794149049754,0.5492205850950246,0.5009039793401379,0.8953662182361734,0.10463378176382661,0.8126519168802172,0.6808387569277117
YMBD,2320,718,0.40663208945812784,0.4702586206896552,0.5297413793103448,0.5034241657301962,0.8594827586206897,0.14051724137931035,0.7953315667393474,0.7058905161446476
YMIPS,4546,1016,0.3730143520615642,0.44544654641443027,0.5545534535855697,0.5009664497474194,0.8944126704795424,0.10558732952045755,0.7951570899600723,0.6537571797144979
