level-1,,LIDC,,
YBL099W,,YAL001C,,0
YBR020W,,YAL003W,,0
YBR039W,,YAL012W,,0
YBR118W,,YAL025C,,0
YBR127C,,YAL032C,,0
YBR196C,,YAL033W,,1
YCL018W,,YAL034C-B,,0
YDL126C,,YAL034W-A,,1
YDR099W,,YAL035C-A,,0
YER177W,,YAL035W,,0
YFL039C,,YAL038W,,1
YGR240C,,YAL041W,,0
YGR256W,,YAL043C,,0
YJL138C,,YAR007C,,0
YLR180W,,YAR008W,,0
YNL030W,,YAR019C,,0
YOL139C,,YBL003C,,1
YOR332W,,YBL004W,,0
YBR055C,,YBL014C,,1
YBR069C,,YBL018C,,0
YBR234C,,YBL020W,,1
YCR002C,,YBL023C,,0
YCR009C,,YBL026W,,0
YDL029W,,YBL030C,,1
YDL047W,,YBL034C,,0
YDL101C,,YBL035C,,0
YDL132W,,YBL040C,,1
YDL225W,,YBL041W,,0
YDR388W,,YBL050W,,0
YER025W,,YBL073W,,1
YER133W,,YBL074C,,1
YGL004C,,YBL076C,,0
YGL137W,,YBL077W,,1
YGL190C,,YBL084C,,0
YGR083C,,YBL092W,,1
YHR135C,,YBL097W,,0
YJR007W,,YBL102W,,1
YKL103C,,YBL105C,,0
YKR026C,,YBR002C,,0
YLR175W,,YBR004C,,1
YLR314C,,YBR009C,,1
YML064C,,YBR011C,,1
YMR246W,,YBR024W,,0
YNL189W,,YBR029C,,1
YNR031C,,YBR038W,,0
YOR212W,,YBR049C,,0
YOR260W,,YBR055C,,1
YOR351C,,YBR058C-A,,0
YPL203W,,YBR060C,,1
YPR178W,,YBR070C,,1
YBL039C,,YBR079C,,0
YBR072W,,YBR080C,,0
YDL097C,,YBR087W,,1
YDL147W,,YBR088C,,1
YDR148C,,YBR089C-A,,0
YDR394W,,YBR089W,,1
YFL037W,,YBR091C,,1
YHR027C,,YBR102C,,1
YIL075C,,YBR106W,,1
YJL008C,,YBR109C,,1
YJR045C,,YBR110W,,1
YJR121W,,YBR112C,,0
YLR216C,,YBR121C,,0
YLR259C,,YBR123C,,1
YML085C,,YBR124W,,1
YMR205C,,YBR135W,,0
YNL064C,,YBR136W,,0
YOR151C,,YBR140C,,1
YCR088W,,YBR142W,,1
YDL134C,,YBR143C,,0
YDL188C,,YBR152W,,0
YEL051W,,YBR153W,,0
YFL016C,,YBR154C,,0
YML123C,,YBR155W,,0
YOR261C,,YBR158W,,1
YPL235W,,YBR160W,,1
YAL021C,,YBR167C,,0
YAR007C,,YBR168W,,1
YBR198C,,YBR190W,,1
YBR217W,,YBR192W,,0
YBR272C,,YBR193C,,0
YDL017W,,YBR196C,,1
YDL059C,,YBR198C,,0
YDL200C,,YBR200W,,0
YDR127W,,YBR202W,,0
YER012W,,YBR211C,,1
YER171W,,YBR233W-A,,1
YFR004W,,YBR234C,,1
YFR010W,,YBR236C,,0
YFR052W,,YBR237W,,1
YGR232W,,YBR243C,,0
YHR030C,,YBR247C,,0
YHR200W,,YBR252W,,0
YIL066C,,YBR253W,,0
YJR076C,,YBR254C,,1
YKL166C,,YBR256C,,1
YMR001C,,YBR257W,,1
YNL161W,,YBR265W,,1
YOL094C,,YCL003W,,1
YOR181W,,YCL004W,,1
YOR259C,,YCL017C,,1
YPR108W,,YCL028W,,1
YDL025C,,YCL031C,,0
YDL213C,,YCL041C,,0
YDR386W,,YCL043C,,0
YER006W,,YCL052C,,1
YFR028C,,YCL053C,,1
YGR097W,,YCL054W,,0
YGR103W,,YCL059C,,1
YGR254W,,YCL067C,,0
YHR052W,,YCR012W,,1
YIL035C,,YCR013C,,0
YKR081C,,YCR035C,,1
YMR290C,,YCR039C,,1
YNL061W,,YCR042C,,1
YNL230C,,YCR052W,,0
YOR061W,,YCR054C,,0
YOR267C,,YCR057C,,0
YOR272W,,YCR072C,,1
YOR361C,,YCR088W,,1
YPL043W,,YCR093W,,1
YPL093W,,YCR096C,,1
YPL141C,,YDL003W,,0
YJR068W,,YDL004W,,1
YNL290W,,YDL007W,,1
YPL240C,,YDL008W,,0
YDL185W,,YDL013W,,0
YDL229W,,YDL014W,,0
YDR190C,,YDL015C,,1
YDL145C,,YDL016C,,1
YGL049C,,YDL017W,,0
YGR162W,,YDL028C,,0
YHR086W,,YDL029W,,1
YMR186W,,YDL030W,,0
YDL155W,,YDL031W,,1
YDR216W,,YDL043C,,0
YER021W,,YDL045C,,1
YIL128W,,YDL055C,,0
YJL130C,,YDL058W,,0
YNL113W,,YDL060W,,1
YOR119C,,YDL064W,,1
YOR341W,,YDL067C,,1
YDR128W,,YDL084W,,0
YJL117W,,YDL087C,,0
YMR284W,,YDL089W,,0
YPL140C,,YDL092W,,0
YGL200C,,YDL097C,,0
YJL002C,,YDL098C,,1
YDR211W,,YDL102W,,1
YIL142W,,YDL103C,,1
YLR191W,,YDL105W,,0
YOL133W,,YDL108W,,1
YDR335W,,YDL111C,,0
YHL004W,,YDL120W,,0
YER165W,,YDL126C,,1
YNL243W,,YDL132W,,1
YNL298W,,YDL139C,,0
YGL005C,,YDL140C,,0
YLR293C,,YDL141W,,1
YOL132W,,YDL143W,,0
YPL204W,,YDL145C,,1
YDR307W,,YDL147W,,0
YER118C,,YDL148C,,0
YGL104C,,YDL150W,,0
YPR111W,,YDL152W,,1
YGR052W,,YDL153C,,0
YGL143C,,YDL155W,,0
YHL008C,,YDL163W,,0
YMR109W,,YDL164C,,0
YBR160W,,YDL165W,,1
YIL061C,,YDL166C,,1
YHR016C,,YDL193W,,0
YGL161C,,YDL195W,,0
YGL198W,,YDL196W,,0
YJL020C,,YDL205C,,0
YMR032W,,YDL207W,,1
YJL069C,,YDL208W,,1
YAL016W,,YDL209C,,0
YGL019W,,YDL212W,,0
YGR090W,,YDL217C,,1
YLR096W,,YDL220C,,0
YNL132W,,YDL221W,,1
YOR039W,,YDL232W,,0
YBL026W,,YDL235C,,1
YDR238C,,YDR002W,,1
YBR108W,,YDR013W,,0
YEL011W,,YDR016C,,0
YER125W,,YDR021W,,1
YIL095W,,YDR023W,,0
YIL156W,,YDR037W,,0
YIR003W,,YDR041W,,0
YNL094W,,YDR044W,,0
YPR171W,,YDR045C,,0
YHR197W,,YDR047W,,1
YNL182C,,YDR050C,,1
YOR005C,,YDR052C,,0
YGR290W,,YDR053W,,0
YHR107C,,YDR054C,,1
YIL139C,,YDR060W,,0
YMR088C,,YDR062W,,0
YPR014C,,YDR064W,,0
YIL046W,,YDR081C,,1
YDR376W,,YDR082W,,1
YNL025C,,YDR086C,,0
YHR082C,,YDR087C,,1
YBL080C,,YDR088C,,0
YDR477W,,YDR091C,,0
YNL093W,,YDR113C,,0
YNL138W,,YDR118W,,1
YHR158C,,YDR123C,,0
YBR214W,,YDR130C,,0
YCR024C-A,,YDR141C,,0
YJR143C,,YDR145W,,0
YMR250W,,YDR151C,,0
YNL163C,,YDR160W,,1
YNL276C,,YDR164C,,0
YDR350C,,YDR166C,,0
YMR282C,,YDR167W,,0
YFR026C,,YDR168W,,0
YGL165C,,YDR170C,,0
YLR076C,,YDR172W,,1
YML109W,,YDR177W,,0
YFR024C-A,,YDR180W,,0
YBL007C,,YDR182W,,0
YER082C,,YDR187C,,1
YJL095W,,YDR188W,,0
YHR166C,,YDR189W,,1
YJL187C,,YDR190C,,0
YLR291C,,YDR196C,,1
YPL070W,,YDR201W,,0
YJR090C,,YDR208W,,0
YLR261C,,YDR211W,,0
YOR390W,,YDR212W,,0
YDR480W,,YDR224C,,0
YER167W,,YDR226W,,0
YGL057C,,YDR228C,,0
YGL158W,,YDR231C,,0
YJL076W,,YDR232W,,1
YPL049C,,YDR233C,,0
YPR137C-A,,YDR235W,,0
YBR251W,,YDR236C,,0
YCR057C,,YDR238C,,1
YJL098W,,YDR240C,,0
YKL008C,,YDR241W,,0
YOR244W,,YDR243C,,1
YIL112W,,YDR246W,,0
YEL063C,,YDR267C,,0
YGL009C,,YDR280W,,0
YBR103W,,YDR288W,,0
YDR228C,,YDR292C,,1
YNL317W,,YDR299W,,1
YGR092W,,YDR301W,,0
YLR281C,,YDR302W,,0
YMR142C,,YDR303C,,0
YKL129C,,YDR308C,,0
YMR123W,,YDR311W,,0
YDL008W,,YDR320C-A,,1
YBR004C,,YDR323C,,1
YPL231W,,YDR324C,,1
YPL112C,,YDR325W,,0
YER129W,,YDR327W,,0
YAL007C,,YDR328C,,0
YNL226W,,YDR331W,,0
YJR073C,,YDR339C,,0
YJL139C,,YDR341C,,0
YLR363C,,YDR353W,,0
YOR076C,,YDR355C,,1
YAR019C,,YDR356W,,1
YGL028C,,YDR361C,,0
YBR261C,,YDR362C,,0
YFR012W,,YDR364C,,0
YPL237W,,YDR365C,,1
YIL131C,,YDR367W,,0
YNL178W,,YDR373W,,1
YEL049W,,YDR376W,,0
YLL029W,,YDR378C,,0
YDR507C,,YDR381W,,0
YHR083W,,YDR389W,,1
YKL179C,,YDR390C,,0
YBR115C,,YDR394W,,0
YNL191W,,YDR395W,,0
YDR441C,,YDR396W,,0
YER161C,,YDR397C,,0
YBR079C,,YDR398W,,1
YMR309C,,YDR404C,,1
YJR117W,,YDR407C,,0
YGL001C,,YDR412W,,1
YOR084W,,YDR413C,,0
YPR041W,,YDR416W,,1
YIR035C,,YDR420W,,0
YJL035C,,YDR427W,,1
YDR428C,,YDR429C,,0
YOR325W,,YDR432W,,0
YNR018W,,YDR434W,,0
YDR461W,,YDR437W,,0
YLL046C,,YDR449C,,0
YDL178W,,YDR454C,,0
YGL036W,,YDR460W,,0
YIR004W,,YDR464W,,1
YLR258W,,YDR468C,,0
YDR227W,,YDR470C,,0
,,YDR472W,,
,,YDR473C,,119
,,YDR478W,,
,,YDR487C,,
,,YDR489W,,
,,YDR498C,,
,,YDR499W,,
,,YDR505C,,
,,YDR510W,,
,,YDR526C,,
,,YDR527W,,
,,YDR531W,,
,,YDR532C,,
,,YEL002C,,
,,YEL019C,,
,,YEL020W-A,,
,,YEL026W,,
,,YEL032W,,
,,YEL034W,,
,,YEL035C,,
,,YEL044W,,
,,YEL055C,,
,,YEL058W,,
,,YER003C,,
,,YER005W,,
,,YER006W,,
,,YER008C,,
,,YER009W,,
,,YER012W,,
,,YER013W,,
,,YER016W,,
,,YER018C,,
,,YER019C-A,,
,,YER021W,,
,,YER022W,,
,,YER023W,,
,,YER025W,,
,,YER026C,,
,,YER029C,,
,,YER036C,,
,,YER038C,,
,,YER043C,,
,,YER048W-A,,
,,YER060W,,
,,YER070W,,
,,YER074W-A,,
,,YER082C,,
,,YER093C,,
,,YER094C,,
,,YER104W,,
,,YER106W,,
,,YER112W,,
,,YER125W,,
,,YER126C,,
,,YER127W,,
,,YER133W,,
,,YER136W,,
,,YER146W,,
,,YER147C,,
,,YER148W,,
,,YER157W,,
,,YER159C,,
,,YER165W,,
,,YER168C,,
,,YER171W,,
,,YER172C,,
,,YFL002C,,
,,YFL005W,,
,,YFL008W,,
,,YFL009W,,
,,YFL017C,,
,,YFL017W-A,,
,,YFL018W-A,,
,,YFL022C,,
,,YFL023W,,
,,YFL024C,,
,,YFL029C,,
,,YFL034C-B,,
,,YFL035C,,
,,YFL035C-A,,
,,YFL037W,,
,,YFL038C,,
,,YFL039C,,
,,YFL045C,,
,,YFR002W,,
,,YFR003C,,
,,YFR004W,,
,,YFR005C,,
,,YFR027W,,
,,YFR028C,,
,,YFR029W,,
,,YFR031C,,
,,YFR037C,,
,,YFR042W,,
,,YFR050C,,
,,YFR051C,,
,,YFR052W,,
,,YGL001C,,
,,YGL003C,,
,,YGL008C,,
,,YGL011C,,
,,YGL014W,,
,,YGL018C,,
,,YGL022W,,
,,YGL029W,,
,,YGL030W,,
,,YGL040C,,
,,YGL044C,,
,,YGL047W,,
,,YGL048C,,
,,YGL055W,,
,,YGL061C,,
,,YGL065C,,
,,YGL068W,,
,,YGL069C,,
,,YGL073W,,
,,YGL074C,,
,,YGL075C,,
,,YGL084C,,
,,YGL091C,,
,,YGL092W,,
,,YGL093W,,
,,YGL097W,,
,,YGL098W,,
,,YGL099W,,
,,YGL102C,,
,,YGL103W,,
,,YGL106W,,
,,YGL111W,,
,,YGL112C,,
,,YGL113W,,
,,YGL116W,,
,,YGL120C,,
,,YGL122C,,
,,YGL123W,,
,,YGL128C,,
,,YGL130W,,
,,YGL137W,,
,,YGL142C,,
,,YGL145W,,
,,YGL150C,,
,,YGL155W,,
,,YGL166W,,
,,YGL169W,,
,,YGL171W,,
,,YGL172W,,
,,YGL180W,,
,,YGL189C,,
,,YGL201C,,
,,YGL207W,,
