YMR078C,9.227501853,3501,0,32305.48399
YLR200W,12.3373494,1503.552381,0,18549.85106
YNL153C,14.09591781,1283.667857,0,18094.47661
YGR078C,12.04258544,1422.333333,0,17128.57069
YML094W,13.01140411,1015.614136,0,13214.56594
YEL003W,13.35853879,942.3134657,0,12587.93098
YHR191C,9.074906387,1140.333333,0,10348.41825
YPR135W,11.19642447,905.5380952,0,10138.78889
YER016W,12.05238471,811.3438978,0,9778.628791
YEL061C,12.74771489,684.5795455,0,8726.824865
YGR188C,5.954038851,1196,0,7121.030465
YOR349W,11.18856234,375.1163919,0,4197.013136
YNL298W,7.962498651,454.3016872,0,3617.376572
YCL016C,9.209164641,367.7420165,0,3386.596776
YMR048W,7.373224348,431.4833333,10,3181.423419
YJL030W,7.409330837,416.7428571,0,3087.785703
YPL241C,7.109215859,412.6666667,0,2933.736411
YPL174C,5.157010778,485,0,2501.150227
YDR388W,8.325493109,289.8235127,0,2412.923658
YPR141C,8.985137875,261.0365079,0,2345.449014
YNL273W,7.889321907,283.3675214,0,2235.577594
YPL008W,7.346053041,300.4474574,0,2207.102958
YGL086W,6.62048902,322.447619,0,2134.760922
YCL029C,7.2587971,265.9607143,0,1930.554862
YBL061C,5.719016489,333,0,1904.432491
YLR085C,4.720627475,395.3166667,0,1866.142718
YCL061C,6.962235797,258.7888278,0,1801.748841
YER007W,5.123076144,340.6666667,0,1745.261273
YGR229C,6.479431872,258.8984293,0,1677.514735
YMR294W,5.152366905,308.5833333,0,1589.934554
YDL003W,5.588449022,277.5916667,0,1551.306878
YHR030C,6.261924217,244.7806638,0,1532.797966
YOR058C,6.538468456,219.5119048,0,1435.271665
YCR009C,6.746642336,211.3760823,0,1426.078825
YDL029W,5.815008481,235.8455628,0,1371.443948
YML032C,5.23790398,251.2760989,0,1316.160079
YJR075W,3.08903816,426,0,1315.930256
YOL148C,8.428889525,154.4,0,1301.420543
YML124C,7.501723672,169.2745421,0,1269.85084
YJR135C,3.53126317,350,0,1235.942109
YPR046W,3.585427496,343,0,1229.801631
YJR043C,7.208301051,169.820845,0,1224.119776
YOR144C,6.214533047,188.6904762,0,1172.6232
YKL113C,6.20711109,182.6426129,4,1133.682988
YLR103C,4.484133463,245.562334,0,1101.134279
YOR026W,3.988607867,252.2,0,1005.926904
YBR234C,4.575669813,215.7166667,0,987.0482398
