YNL064C,2.182583284,279.3538373,0,609.7130158
YDL017W,2.729268438,221.1321657,0,603.5290405
YDR448W,6.077803995,98.35561938,28,597.7861764
YKL008C,4.83640117,121.4404762,0,587.3348611
YDR301W,7.786168916,75.4,0,587.0771362
YBR127C,2.284357989,256.984596,0,587.0448148
YHR066W,6.604118716,87.6777417,0,579.0342149
YOR119C,4.333560999,133.4865079,0,578.4719246
YLR147C,5.469011811,105.5357143,32,577.1760679
YAL043C,8.526016004,66.3297619,0,565.5286116
YHR099W,5.593442762,100.9966629,0,564.919053
YOR117W,4.586858978,122.152381,0,560.2957452
YOL139C,3.538954667,156.9785714,0,555.540048
YDL145C,3.120359632,176.8011905,4.777777778,551.6832977
YBR217W,2.64471051,208.275,8,550.8270815
YPL235W,2.63799435,208.455772,75.33333333,549.9051488
YBL099W,2.780268304,195.3414106,0,543.1015325
YOR267C,3.237079378,166.3333333,0,538.4342032
YDL087C,5.731864993,93.4,0,535.3561904
YDR307W,3.224774726,165.6666667,135.25,534.2376796
YGR095C,5.686936574,92.5,68,526.0416331
YBR055C,2.153825022,244.1666667,0,525.8922763
YMR058W,4.219406665,124.4290043,0,525.0165701
YIL021W,3.489074661,149.0952381,0,520.2044172
YLR074C,3.457200577,148.6880952,0,514.0445687
YGL019W,3.529082527,141.9630952,0,500.9994789
YDL047W,2.627417305,189.9400072,0,499.0516619
YDL043C,2.046315907,243.5833333,0,498.4484497
YGL111W,3.861159587,127.3333333,0,491.6543207
YDR328C,2.682429066,179.9244551,0,482.6345882
YGR052W,1.843843127,261,0,481.2430561
YBR142W,3.814377592,126,0,480.6115766
YFL037W,2.317028648,206.3198274,0,478.0489508
YBR160W,1.924563319,248.3820579,0,478.0269977
YHR026W,5.394553631,88.25952381,0,476.1207347
YLR018C,3.520532591,134.45,0,473.3356069
YMR125W,4.777084336,97.34166667,2,465.0093511
YDL188C,3.363619046,137.3035714,0,461.836908
YDL140C,3.375780138,136.7160018,0,461.5231633
YLR277C,7.327552494,59.6952381,36,437.4199908
YOR259C,4.941030261,88.04671717,0,435.0414939
YFR010W,5.480128151,79.18333333,0,433.9348141
YHR110W,2.273717182,154,190.5,433.1431231
YEL002C,4.852809085,88.62056277,0,430.0586722
YJL076W,3.191025836,133.9857143,0,427.5518759
YKR002W,7.6339498,55.26190476,44,421.8666068
YPR178W,4.4419114,94.74188312,0,420.8350507
YDR404C,4.230379104,99.25119048,0,419.8701622
YGL158W,2.103679577,197.6666667,0,415.8273296
YCR002C,3.177964371,130.3240647,0,414.1652341
YEL037C,5.308070796,77.56666667,8,411.7293581
YGL112C,4.781338481,85.29261849,0,407.812879
YHL042W,4.747907604,85.83549784,0,407.5390129
YPL140C,2.645579645,153.5858296,0,406.3235446
YER177W,2.680328625,149.42838,0,400.5171642
YMR290C,3.913576156,77.20180375,102,399.1847679
YOR174W,2.260595667,34.8,170,384.3012633
YPL204W,2.673959931,141.7634427,0,379.0697655
YKR026C,2.190180903,168.2666667,0,368.5344399
YFL017W-A,5.431393749,67.77301587,0,368.1019348
YJR093C,5.702655005,63.85,36,364.1145221
YER172C,4.66795678,77.49087302,0,361.7240461
YCR057C,4.102699389,88.07380952,14,361.3403645
YDL059C,2.141453912,168.0821429,51.83333333,359.9401623
YCR088W,3.010626089,119.1666667,0,358.7662756
YMR001C,2.587029976,138.5357684,0,358.3961856
YGR090W,4.008516913,88.61454069,0,355.2128851
YBR198C,3.625963496,95.94444444,34,347.8910532
YFL024C,3.498627982,98.9,34,346.0143074
YDR118W,5.844139702,58.96666667,0,344.6094378
YBL026W,3.278167463,105.0010367,0,344.210982
YDL101C,1.650653271,204.6666667,0,337.8337028
YLR291C,1.908211659,175.4833333,0,334.8593427
YOL094C,2.687039943,123.8535714,0,332.7994936
YKL059C,7.396064627,44.91428571,0,332.1889598
YBR272C,3.879825612,85.08333333,0,330.1084958
YGR195W,5.488005589,43.90745921,60,329.2803353
YHR082C,2.358079679,139.252381,0,328.3682098
YER112W,3.41293148,95.73690476,0,326.743496
YDL225W,2.994177143,108.8143939,26,325.8095711
YDR195W,7.006423402,46.37142857,0,324.8978623
YNL290W,2.684408676,119.8130952,0,321.6273123
YOR151C,3.086936781,103.3105576,0,318.91316
YLR438C-A,4.571437595,68.93253968,6,315.1208034
YDR280W,5.216186987,60.28571429,22,314.4615583
